chrom	start	end	feature_id	study_id	protocol
chr1	760000	2680000	chr1:760000-2680000	GSE58752	Hi-C
chr1	2760000	6160000	chr1:2760000-6160000	GSE58752	Hi-C
chr1	6160000	7320000	chr1:6160000-7320000	GSE58752	Hi-C
chr1	7320000	7560000	chr1:7320000-7560000	GSE58752	Hi-C
chr1	7560000	8960000	chr1:7560000-8960000	GSE58752	Hi-C
chr1	8960000	11000000	chr1:8960000-11000000	GSE58752	Hi-C
chr1	11000000	12040000	chr1:11000000-12040000	GSE58752	Hi-C
chr1	12040000	12800000	chr1:12040000-12800000	GSE58752	Hi-C
chr1	12800000	15360000	chr1:12800000-15360000	GSE58752	Hi-C
chr1	15360000	16600000	chr1:15360000-16600000	GSE58752	Hi-C
chr1	16600000	19680000	chr1:16600000-19680000	GSE58752	Hi-C
chr1	19680000	21280000	chr1:19680000-21280000	GSE58752	Hi-C
chr1	21280000	22840000	chr1:21280000-22840000	GSE58752	Hi-C
chr1	22840000	25160000	chr1:22840000-25160000	GSE58752	Hi-C
chr1	25160000	26920000	chr1:25160000-26920000	GSE58752	Hi-C
chr1	26920000	27840000	chr1:26920000-27840000	GSE58752	Hi-C
chr1	27840000	28800000	chr1:27840000-28800000	GSE58752	Hi-C
chr1	28800000	29240000	chr1:28800000-29240000	GSE58752	Hi-C
chr1	29240000	30600000	chr1:29240000-30600000	GSE58752	Hi-C
chr1	30600000	32440000	chr1:30600000-32440000	GSE58752	Hi-C
chr1	32440000	32880000	chr1:32440000-32880000	GSE58752	Hi-C
chr1	32880000	34800000	chr1:32880000-34800000	GSE58752	Hi-C
chr1	34800000	35520000	chr1:34800000-35520000	GSE58752	Hi-C
chr1	35520000	35840000	chr1:35520000-35840000	GSE58752	Hi-C
chr1	35840000	38880000	chr1:35840000-38880000	GSE58752	Hi-C
chr1	38880000	39560000	chr1:38880000-39560000	GSE58752	Hi-C
chr1	39600000	41080000	chr1:39600000-41080000	GSE58752	Hi-C
chr1	41080000	43520000	chr1:41080000-43520000	GSE58752	Hi-C
chr1	43520000	45720000	chr1:43520000-45720000	GSE58752	Hi-C
chr1	45720000	46360000	chr1:45720000-46360000	GSE58752	Hi-C
chr1	46360000	46840000	chr1:46360000-46840000	GSE58752	Hi-C
chr1	46840000	50360000	chr1:46840000-50360000	GSE58752	Hi-C
chr1	50360000	53200000	chr1:50360000-53200000	GSE58752	Hi-C
chr1	53200000	54800000	chr1:53200000-54800000	GSE58752	Hi-C
chr1	54800000	56840000	chr1:54800000-56840000	GSE58752	Hi-C
chr1	56840000	58000000	chr1:56840000-58000000	GSE58752	Hi-C
chr1	58000000	59840000	chr1:58000000-59840000	GSE58752	Hi-C
chr1	59840000	62040000	chr1:59840000-62040000	GSE58752	Hi-C
chr1	62040000	64240000	chr1:62040000-64240000	GSE58752	Hi-C
chr1	64240000	65120000	chr1:64240000-65120000	GSE58752	Hi-C
chr1	65120000	66480000	chr1:65120000-66480000	GSE58752	Hi-C
chr1	66480000	67200000	chr1:66480000-67200000	GSE58752	Hi-C
chr1	67200000	67840000	chr1:67200000-67840000	GSE58752	Hi-C
chr1	67880000	69880000	chr1:67880000-69880000	GSE58752	Hi-C
chr1	69920000	75080000	chr1:69920000-75080000	GSE58752	Hi-C
chr1	75080000	75400000	chr1:75080000-75400000	GSE58752	Hi-C
chr1	75400000	78120000	chr1:75400000-78120000	GSE58752	Hi-C
chr1	78120000	81040000	chr1:78120000-81040000	GSE58752	Hi-C
chr1	81040000	83400000	chr1:81040000-83400000	GSE58752	Hi-C
chr1	83400000	84920000	chr1:83400000-84920000	GSE58752	Hi-C
chr1	84920000	88640000	chr1:84920000-88640000	GSE58752	Hi-C
chr1	88640000	89400000	chr1:88640000-89400000	GSE58752	Hi-C
chr1	89400000	90160000	chr1:89400000-90160000	GSE58752	Hi-C
chr1	90160000	91920000	chr1:90160000-91920000	GSE58752	Hi-C
chr1	91920000	92720000	chr1:91920000-92720000	GSE58752	Hi-C
chr1	92720000	93920000	chr1:92720000-93920000	GSE58752	Hi-C
chr1	93920000	95120000	chr1:93920000-95120000	GSE58752	Hi-C
chr1	95120000	98560000	chr1:95120000-98560000	GSE58752	Hi-C
chr1	98560000	99680000	chr1:98560000-99680000	GSE58752	Hi-C
chr1	99680000	101600000	chr1:99680000-101600000	GSE58752	Hi-C
chr1	101600000	103640000	chr1:101600000-103640000	GSE58752	Hi-C
chr1	103760000	105800000	chr1:103760000-105800000	GSE58752	Hi-C
chr1	105800000	106920000	chr1:105800000-106920000	GSE58752	Hi-C
chr1	106920000	108240000	chr1:106920000-108240000	GSE58752	Hi-C
chr1	108280000	111920000	chr1:108280000-111920000	GSE58752	Hi-C
chr1	111920000	114800000	chr1:111920000-114800000	GSE58752	Hi-C
chr1	114800000	115880000	chr1:114800000-115880000	GSE58752	Hi-C
chr1	115880000	117160000	chr1:115880000-117160000	GSE58752	Hi-C
chr1	117160000	118000000	chr1:117160000-118000000	GSE58752	Hi-C
chr1	118000000	120240000	chr1:118000000-120240000	GSE58752	Hi-C
chr1	120840000	121640000	chr1:120840000-121640000	GSE58752	Hi-C
chr1	124920000	125200000	chr1:124920000-125200000	GSE58752	Hi-C
chr1	143520000	143760000	chr1:143520000-143760000	GSE58752	Hi-C
chr1	145480000	146080000	chr1:145480000-146080000	GSE58752	Hi-C
chr1	146440000	148480000	chr1:146440000-148480000	GSE58752	Hi-C
chr1	148960000	152120000	chr1:148960000-152120000	GSE58752	Hi-C
chr1	152120000	153440000	chr1:152120000-153440000	GSE58752	Hi-C
chr1	153440000	155200000	chr1:153440000-155200000	GSE58752	Hi-C
chr1	155200000	156800000	chr1:155200000-156800000	GSE58752	Hi-C
chr1	156800000	159840000	chr1:156800000-159840000	GSE58752	Hi-C
chr1	159840000	161440000	chr1:159840000-161440000	GSE58752	Hi-C
chr1	161440000	165120000	chr1:161440000-165120000	GSE58752	Hi-C
chr1	165120000	166640000	chr1:165120000-166640000	GSE58752	Hi-C
chr1	166640000	167640000	chr1:166640000-167640000	GSE58752	Hi-C
chr1	167640000	169400000	chr1:167640000-169400000	GSE58752	Hi-C
chr1	169400000	169880000	chr1:169400000-169880000	GSE58752	Hi-C
chr1	169880000	171200000	chr1:169880000-171200000	GSE58752	Hi-C
chr1	171200000	174240000	chr1:171200000-174240000	GSE58752	Hi-C
chr1	174240000	174760000	chr1:174240000-174760000	GSE58752	Hi-C
chr1	174760000	175040000	chr1:174760000-175040000	GSE58752	Hi-C
chr1	175040000	176280000	chr1:175040000-176280000	GSE58752	Hi-C
chr1	176280000	178040000	chr1:176280000-178040000	GSE58752	Hi-C
chr1	178040000	179680000	chr1:178040000-179680000	GSE58752	Hi-C
chr1	179680000	181280000	chr1:179680000-181280000	GSE58752	Hi-C
chr1	181280000	182880000	chr1:181280000-182880000	GSE58752	Hi-C
chr1	182880000	185760000	chr1:182880000-185760000	GSE58752	Hi-C
chr1	185760000	186400000	chr1:185760000-186400000	GSE58752	Hi-C
chr1	186400000	191120000	chr1:186400000-191120000	GSE58752	Hi-C
chr1	191160000	192120000	chr1:191160000-192120000	GSE58752	Hi-C
chr1	192120000	194440000	chr1:192120000-194440000	GSE58752	Hi-C
chr1	194440000	195080000	chr1:194440000-195080000	GSE58752	Hi-C
chr1	195080000	195800000	chr1:195080000-195800000	GSE58752	Hi-C
chr1	195800000	196760000	chr1:195800000-196760000	GSE58752	Hi-C
chr1	196760000	199640000	chr1:196760000-199640000	GSE58752	Hi-C
chr1	199640000	201320000	chr1:199640000-201320000	GSE58752	Hi-C
chr1	201320000	204080000	chr1:201320000-204080000	GSE58752	Hi-C
chr1	204080000	204600000	chr1:204080000-204600000	GSE58752	Hi-C
chr1	204600000	205440000	chr1:204600000-205440000	GSE58752	Hi-C
chr1	205440000	206160000	chr1:205440000-206160000	GSE58752	Hi-C
chr1	206160000	207800000	chr1:206160000-207800000	GSE58752	Hi-C
chr1	207800000	208240000	chr1:207800000-208240000	GSE58752	Hi-C
chr1	208240000	211200000	chr1:208240000-211200000	GSE58752	Hi-C
chr1	211200000	212440000	chr1:211200000-212440000	GSE58752	Hi-C
chr1	212440000	213040000	chr1:212440000-213040000	GSE58752	Hi-C
chr1	213040000	214640000	chr1:213040000-214640000	GSE58752	Hi-C
chr1	214640000	215680000	chr1:214640000-215680000	GSE58752	Hi-C
chr1	215680000	218040000	chr1:215680000-218040000	GSE58752	Hi-C
chr1	218040000	219840000	chr1:218040000-219840000	GSE58752	Hi-C
