chrom	start	end	feature_id	study_id	protocol
chr1	800000	5960000	chr1:800000-5960000	GSE87112	Hi-C
chr1	6560000	7760000	chr1:6560000-7760000	GSE87112	Hi-C
chr1	7960000	8880000	chr1:7960000-8880000	GSE87112	Hi-C
chr1	9120000	11000000	chr1:9120000-11000000	GSE87112	Hi-C
chr1	11000000	12760000	chr1:11000000-12760000	GSE87112	Hi-C
chr1	13200000	15520000	chr1:13200000-15520000	GSE87112	Hi-C
chr1	15520000	16560000	chr1:15520000-16560000	GSE87112	Hi-C
chr1	17000000	18880000	chr1:17000000-18880000	GSE87112	Hi-C
chr1	19080000	19680000	chr1:19080000-19680000	GSE87112	Hi-C
chr1	19840000	20520000	chr1:19840000-20520000	GSE87112	Hi-C
chr1	20640000	22880000	chr1:20640000-22880000	GSE87112	Hi-C
chr1	23000000	23720000	chr1:23000000-23720000	GSE87112	Hi-C
chr1	24120000	25160000	chr1:24120000-25160000	GSE87112	Hi-C
chr1	25320000	26440000	chr1:25320000-26440000	GSE87112	Hi-C
chr1	26520000	27760000	chr1:26520000-27760000	GSE87112	Hi-C
chr1	29240000	30720000	chr1:29240000-30720000	GSE87112	Hi-C
chr1	31160000	32080000	chr1:31160000-32080000	GSE87112	Hi-C
chr1	33560000	34840000	chr1:33560000-34840000	GSE87112	Hi-C
chr1	35120000	35800000	chr1:35120000-35800000	GSE87112	Hi-C
chr1	36080000	36480000	chr1:36080000-36480000	GSE87112	Hi-C
chr1	36480000	37400000	chr1:36480000-37400000	GSE87112	Hi-C
chr1	38000000	38920000	chr1:38000000-38920000	GSE87112	Hi-C
chr1	39040000	39760000	chr1:39040000-39760000	GSE87112	Hi-C
chr1	40040000	46360000	chr1:40040000-46360000	GSE87112	Hi-C
chr1	47160000	50360000	chr1:47160000-50360000	GSE87112	Hi-C
chr1	50680000	52960000	chr1:50680000-52960000	GSE87112	Hi-C
chr1	53280000	54880000	chr1:53280000-54880000	GSE87112	Hi-C
chr1	55040000	56760000	chr1:55040000-56760000	GSE87112	Hi-C
chr1	56800000	58480000	chr1:56800000-58480000	GSE87112	Hi-C
chr1	58480000	59840000	chr1:58480000-59840000	GSE87112	Hi-C
chr1	59960000	62160000	chr1:59960000-62160000	GSE87112	Hi-C
chr1	62800000	64240000	chr1:62800000-64240000	GSE87112	Hi-C
chr1	64280000	65720000	chr1:64280000-65720000	GSE87112	Hi-C
chr1	65880000	66760000	chr1:65880000-66760000	GSE87112	Hi-C
chr1	67200000	67840000	chr1:67200000-67840000	GSE87112	Hi-C
chr1	67880000	71080000	chr1:67880000-71080000	GSE87112	Hi-C
chr1	71880000	74760000	chr1:71880000-74760000	GSE87112	Hi-C
chr1	75880000	78120000	chr1:75880000-78120000	GSE87112	Hi-C
chr1	78200000	83840000	chr1:78200000-83840000	GSE87112	Hi-C
chr1	83880000	84920000	chr1:83880000-84920000	GSE87112	Hi-C
chr1	85240000	88880000	chr1:85240000-88880000	GSE87112	Hi-C
chr1	88920000	90040000	chr1:88920000-90040000	GSE87112	Hi-C
chr1	90080000	91320000	chr1:90080000-91320000	GSE87112	Hi-C
chr1	91440000	92680000	chr1:91440000-92680000	GSE87112	Hi-C
chr1	92840000	93880000	chr1:92840000-93880000	GSE87112	Hi-C
chr1	93960000	94440000	chr1:93960000-94440000	GSE87112	Hi-C
chr1	94520000	95040000	chr1:94520000-95040000	GSE87112	Hi-C
chr1	95240000	96760000	chr1:95240000-96760000	GSE87112	Hi-C
chr1	96960000	98560000	chr1:96960000-98560000	GSE87112	Hi-C
chr1	98880000	99720000	chr1:98880000-99720000	GSE87112	Hi-C
chr1	99800000	101360000	chr1:99800000-101360000	GSE87112	Hi-C
chr1	101440000	103640000	chr1:101440000-103640000	GSE87112	Hi-C
chr1	104880000	107560000	chr1:104880000-107560000	GSE87112	Hi-C
chr1	107760000	108400000	chr1:107760000-108400000	GSE87112	Hi-C
chr1	108760000	110040000	chr1:108760000-110040000	GSE87112	Hi-C
chr1	110200000	112400000	chr1:110200000-112400000	GSE87112	Hi-C
chr1	113120000	114800000	chr1:113120000-114800000	GSE87112	Hi-C
chr1	114800000	116000000	chr1:114800000-116000000	GSE87112	Hi-C
chr1	116120000	116560000	chr1:116120000-116560000	GSE87112	Hi-C
chr1	116640000	117920000	chr1:116640000-117920000	GSE87112	Hi-C
chr1	118000000	121640000	chr1:118000000-121640000	GSE87112	Hi-C
chr1	145640000	146080000	chr1:145640000-146080000	GSE87112	Hi-C
chr1	146640000	148440000	chr1:146640000-148440000	GSE87112	Hi-C
chr1	149800000	152040000	chr1:149800000-152040000	GSE87112	Hi-C
