chrom	start	end	feature_id	study_id	protocol
chr1	880000	1640000	chr1:880000-1640000	GSE105381	Hi-C
chr1	1760000	2400000	chr1:1760000-2400000	GSE105381	Hi-C
chr1	2400000	2640000	chr1:2400000-2640000	GSE105381	Hi-C
chr1	2760000	3800000	chr1:2760000-3800000	GSE105381	Hi-C
chr1	3880000	4640000	chr1:3880000-4640000	GSE105381	Hi-C
chr1	4840000	6000000	chr1:4840000-6000000	GSE105381	Hi-C
chr1	6040000	6680000	chr1:6040000-6680000	GSE105381	Hi-C
chr1	6680000	7960000	chr1:6680000-7960000	GSE105381	Hi-C
chr1	7960000	8360000	chr1:7960000-8360000	GSE105381	Hi-C
chr1	8360000	8880000	chr1:8360000-8880000	GSE105381	Hi-C
chr1	8880000	9600000	chr1:8880000-9600000	GSE105381	Hi-C
chr1	9600000	10440000	chr1:9600000-10440000	GSE105381	Hi-C
chr1	10480000	11000000	chr1:10480000-11000000	GSE105381	Hi-C
chr1	11000000	12040000	chr1:11000000-12040000	GSE105381	Hi-C
chr1	12080000	12240000	chr1:12080000-12240000	GSE105381	Hi-C
chr1	12240000	12840000	chr1:12240000-12840000	GSE105381	Hi-C
chr1	13360000	15520000	chr1:13360000-15520000	GSE105381	Hi-C
chr1	15520000	16000000	chr1:15520000-16000000	GSE105381	Hi-C
chr1	16080000	16520000	chr1:16080000-16520000	GSE105381	Hi-C
chr1	16880000	18880000	chr1:16880000-18880000	GSE105381	Hi-C
chr1	18880000	19240000	chr1:18880000-19240000	GSE105381	Hi-C
chr1	19280000	19680000	chr1:19280000-19680000	GSE105381	Hi-C
chr1	19720000	20520000	chr1:19720000-20520000	GSE105381	Hi-C
chr1	20680000	21200000	chr1:20680000-21200000	GSE105381	Hi-C
chr1	21200000	21640000	chr1:21200000-21640000	GSE105381	Hi-C
chr1	21680000	22040000	chr1:21680000-22040000	GSE105381	Hi-C
chr1	22080000	22960000	chr1:22080000-22960000	GSE105381	Hi-C
chr1	22960000	23280000	chr1:22960000-23280000	GSE105381	Hi-C
chr1	23480000	23720000	chr1:23480000-23720000	GSE105381	Hi-C
chr1	23760000	24400000	chr1:23760000-24400000	GSE105381	Hi-C
chr1	24400000	24640000	chr1:24400000-24640000	GSE105381	Hi-C
chr1	24640000	24840000	chr1:24640000-24840000	GSE105381	Hi-C
chr1	24840000	25280000	chr1:24840000-25280000	GSE105381	Hi-C
