chrom	start	end	feature_id	study_id	protocol
chr1	800000	3680000	chr1:800000-3680000	GSE105725	Hi-C
chr1	3800000	6000000	chr1:3800000-6000000	GSE105725	Hi-C
chr1	6480000	7640000	chr1:6480000-7640000	GSE105725	Hi-C
chr1	7960000	10400000	chr1:7960000-10400000	GSE105725	Hi-C
chr1	10520000	11960000	chr1:10520000-11960000	GSE105725	Hi-C
chr1	12240000	12800000	chr1:12240000-12800000	GSE105725	Hi-C
chr1	13200000	15520000	chr1:13200000-15520000	GSE105725	Hi-C
chr1	15520000	16560000	chr1:15520000-16560000	GSE105725	Hi-C
chr1	16880000	19720000	chr1:16880000-19720000	GSE105725	Hi-C
chr1	19880000	20520000	chr1:19880000-20520000	GSE105725	Hi-C
chr1	20680000	21200000	chr1:20680000-21200000	GSE105725	Hi-C
chr1	22040000	22960000	chr1:22040000-22960000	GSE105725	Hi-C
chr1	22960000	23720000	chr1:22960000-23720000	GSE105725	Hi-C
chr1	23920000	25240000	chr1:23920000-25240000	GSE105725	Hi-C
chr1	25320000	26440000	chr1:25320000-26440000	GSE105725	Hi-C
chr1	26520000	26920000	chr1:26520000-26920000	GSE105725	Hi-C
chr1	27000000	28240000	chr1:27000000-28240000	GSE105725	Hi-C
chr1	28880000	32120000	chr1:28880000-32120000	GSE105725	Hi-C
chr1	32360000	33080000	chr1:32360000-33080000	GSE105725	Hi-C
chr1	33160000	34760000	chr1:33160000-34760000	GSE105725	Hi-C
chr1	35120000	35800000	chr1:35120000-35800000	GSE105725	Hi-C
chr1	36040000	38880000	chr1:36040000-38880000	GSE105725	Hi-C
chr1	39040000	39760000	chr1:39040000-39760000	GSE105725	Hi-C
chr1	40040000	40440000	chr1:40040000-40440000	GSE105725	Hi-C
chr1	40560000	41040000	chr1:40560000-41040000	GSE105725	Hi-C
chr1	41040000	44720000	chr1:41040000-44720000	GSE105725	Hi-C
chr1	44760000	46360000	chr1:44760000-46360000	GSE105725	Hi-C
chr1	46400000	48080000	chr1:46400000-48080000	GSE105725	Hi-C
chr1	48080000	50640000	chr1:48080000-50640000	GSE105725	Hi-C
chr1	50720000	51200000	chr1:50720000-51200000	GSE105725	Hi-C
chr1	51360000	53800000	chr1:51360000-53800000	GSE105725	Hi-C
chr1	54040000	54920000	chr1:54040000-54920000	GSE105725	Hi-C
chr1	55040000	56840000	chr1:55040000-56840000	GSE105725	Hi-C
chr1	56840000	58480000	chr1:56840000-58480000	GSE105725	Hi-C
chr1	58720000	59840000	chr1:58720000-59840000	GSE105725	Hi-C
chr1	59920000	60760000	chr1:59920000-60760000	GSE105725	Hi-C
chr1	60840000	62800000	chr1:60840000-62800000	GSE105725	Hi-C
chr1	62800000	64240000	chr1:62800000-64240000	GSE105725	Hi-C
chr1	64240000	65720000	chr1:64240000-65720000	GSE105725	Hi-C
chr1	65920000	67200000	chr1:65920000-67200000	GSE105725	Hi-C
chr1	67520000	67800000	chr1:67520000-67800000	GSE105725	Hi-C
chr1	68080000	70520000	chr1:68080000-70520000	GSE105725	Hi-C
chr1	70600000	71080000	chr1:70600000-71080000	GSE105725	Hi-C
chr1	71080000	74720000	chr1:71080000-74720000	GSE105725	Hi-C
chr1	74760000	75240000	chr1:74760000-75240000	GSE105725	Hi-C
chr1	75240000	75680000	chr1:75240000-75680000	GSE105725	Hi-C
chr1	75840000	78120000	chr1:75840000-78120000	GSE105725	Hi-C
chr1	78120000	83880000	chr1:78120000-83880000	GSE105725	Hi-C
