chrom	start	end	feature_id	study_id	protocol
chr1	760000	5960000	chr1:760000-5960000	GSE87112	Hi-C
chr1	6520000	7800000	chr1:6520000-7800000	GSE87112	Hi-C
chr1	7920000	10480000	chr1:7920000-10480000	GSE87112	Hi-C
chr1	10480000	11000000	chr1:10480000-11000000	GSE87112	Hi-C
chr1	11040000	12000000	chr1:11040000-12000000	GSE87112	Hi-C
chr1	12240000	12720000	chr1:12240000-12720000	GSE87112	Hi-C
chr1	13280000	15520000	chr1:13280000-15520000	GSE87112	Hi-C
chr1	15520000	16560000	chr1:15520000-16560000	GSE87112	Hi-C
chr1	16920000	18880000	chr1:16920000-18880000	GSE87112	Hi-C
chr1	18880000	19720000	chr1:18880000-19720000	GSE87112	Hi-C
chr1	19880000	20480000	chr1:19880000-20480000	GSE87112	Hi-C
chr1	20640000	22920000	chr1:20640000-22920000	GSE87112	Hi-C
chr1	23000000	25240000	chr1:23000000-25240000	GSE87112	Hi-C
chr1	25400000	26440000	chr1:25400000-26440000	GSE87112	Hi-C
chr1	26480000	27800000	chr1:26480000-27800000	GSE87112	Hi-C
chr1	28720000	30960000	chr1:28720000-30960000	GSE87112	Hi-C
chr1	33160000	34880000	chr1:33160000-34880000	GSE87112	Hi-C
chr1	35040000	36480000	chr1:35040000-36480000	GSE87112	Hi-C
chr1	36480000	37400000	chr1:36480000-37400000	GSE87112	Hi-C
chr1	37920000	38880000	chr1:37920000-38880000	GSE87112	Hi-C
chr1	39040000	39720000	chr1:39040000-39720000	GSE87112	Hi-C
chr1	40040000	40440000	chr1:40040000-40440000	GSE87112	Hi-C
chr1	40560000	44720000	chr1:40560000-44720000	GSE87112	Hi-C
chr1	44720000	46360000	chr1:44720000-46360000	GSE87112	Hi-C
chr1	46360000	51200000	chr1:46360000-51200000	GSE87112	Hi-C
chr1	51320000	53240000	chr1:51320000-53240000	GSE87112	Hi-C
chr1	53400000	54880000	chr1:53400000-54880000	GSE87112	Hi-C
chr1	54960000	56760000	chr1:54960000-56760000	GSE87112	Hi-C
chr1	56800000	58520000	chr1:56800000-58520000	GSE87112	Hi-C
chr1	58680000	59800000	chr1:58680000-59800000	GSE87112	Hi-C
chr1	59960000	62160000	chr1:59960000-62160000	GSE87112	Hi-C
chr1	62480000	63480000	chr1:62480000-63480000	GSE87112	Hi-C
chr1	63560000	64240000	chr1:63560000-64240000	GSE87112	Hi-C
chr1	64280000	65040000	chr1:64280000-65040000	GSE87112	Hi-C
chr1	65760000	66760000	chr1:65760000-66760000	GSE87112	Hi-C
chr1	67520000	70200000	chr1:67520000-70200000	GSE87112	Hi-C
chr1	70480000	71080000	chr1:70480000-71080000	GSE87112	Hi-C
chr1	71080000	74720000	chr1:71080000-74720000	GSE87112	Hi-C
chr1	75840000	78120000	chr1:75840000-78120000	GSE87112	Hi-C
chr1	78120000	78680000	chr1:78120000-78680000	GSE87112	Hi-C
chr1	78720000	83880000	chr1:78720000-83880000	GSE87112	Hi-C
chr1	83880000	84920000	chr1:83880000-84920000	GSE87112	Hi-C
chr1	85280000	88880000	chr1:85280000-88880000	GSE87112	Hi-C
chr1	88920000	90040000	chr1:88920000-90040000	GSE87112	Hi-C
chr1	90080000	91280000	chr1:90080000-91280000	GSE87112	Hi-C
chr1	91480000	92720000	chr1:91480000-92720000	GSE87112	Hi-C
chr1	93280000	93880000	chr1:93280000-93880000	GSE87112	Hi-C
chr1	93960000	94400000	chr1:93960000-94400000	GSE87112	Hi-C
chr1	94440000	95080000	chr1:94440000-95080000	GSE87112	Hi-C
chr1	95240000	99720000	chr1:95240000-99720000	GSE87112	Hi-C
chr1	99760000	101360000	chr1:99760000-101360000	GSE87112	Hi-C
chr1	101360000	103640000	chr1:101360000-103640000	GSE87112	Hi-C
chr1	104080000	108360000	chr1:104080000-108360000	GSE87112	Hi-C
chr1	108720000	110040000	chr1:108720000-110040000	GSE87112	Hi-C
chr1	110120000	113080000	chr1:110120000-113080000	GSE87112	Hi-C
chr1	113080000	113720000	chr1:113080000-113720000	GSE87112	Hi-C
chr1	113800000	114360000	chr1:113800000-114360000	GSE87112	Hi-C
chr1	114800000	116560000	chr1:114800000-116560000	GSE87112	Hi-C
chr1	116640000	117960000	chr1:116640000-117960000	GSE87112	Hi-C
chr1	117960000	121640000	chr1:117960000-121640000	GSE87112	Hi-C
chr1	124920000	125160000	chr1:124920000-125160000	GSE87112	Hi-C
chr1	143520000	146080000	chr1:143520000-146080000	GSE87112	Hi-C
chr1	146680000	148400000	chr1:146680000-148400000	GSE87112	Hi-C
chr1	149800000	151800000	chr1:149800000-151800000	GSE87112	Hi-C
chr1	152040000	153520000	chr1:152040000-153520000	GSE87112	Hi-C
chr1	153720000	155200000	chr1:153720000-155200000	GSE87112	Hi-C
chr1	155200000	156720000	chr1:155200000-156720000	GSE87112	Hi-C
chr1	157120000	161160000	chr1:157120000-161160000	GSE87112	Hi-C
chr1	161440000	165120000	chr1:161440000-165120000	GSE87112	Hi-C
chr1	165360000	166800000	chr1:165360000-166800000	GSE87112	Hi-C
chr1	166880000	167600000	chr1:166880000-167600000	GSE87112	Hi-C
chr1	167640000	169400000	chr1:167640000-169400000	GSE87112	Hi-C
chr1	169560000	171440000	chr1:169560000-171440000	GSE87112	Hi-C
chr1	171480000	174200000	chr1:171480000-174200000	GSE87112	Hi-C
chr1	174240000	174760000	chr1:174240000-174760000	GSE87112	Hi-C
chr1	175040000	176840000	chr1:175040000-176840000	GSE87112	Hi-C
chr1	176880000	178000000	chr1:176880000-178000000	GSE87112	Hi-C
chr1	178560000	179440000	chr1:178560000-179440000	GSE87112	Hi-C
chr1	179880000	182040000	chr1:179880000-182040000	GSE87112	Hi-C
chr1	182040000	182800000	chr1:182040000-182800000	GSE87112	Hi-C
chr1	182880000	185000000	chr1:182880000-185000000	GSE87112	Hi-C
chr1	185160000	186320000	chr1:185160000-186320000	GSE87112	Hi-C
chr1	186400000	187000000	chr1:186400000-187000000	GSE87112	Hi-C
chr1	187000000	190280000	chr1:187000000-190280000	GSE87112	Hi-C
chr1	190720000	192440000	chr1:190720000-192440000	GSE87112	Hi-C
chr1	192440000	193080000	chr1:192440000-193080000	GSE87112	Hi-C
chr1	193120000	196760000	chr1:193120000-196760000	GSE87112	Hi-C
chr1	197000000	198520000	chr1:197000000-198520000	GSE87112	Hi-C
chr1	198640000	200600000	chr1:198640000-200600000	GSE87112	Hi-C
chr1	200600000	201200000	chr1:200600000-201200000	GSE87112	Hi-C
chr1	201400000	201840000	chr1:201400000-201840000	GSE87112	Hi-C
chr1	202160000	203760000	chr1:202160000-203760000	GSE87112	Hi-C
chr1	203840000	204520000	chr1:203840000-204520000	GSE87112	Hi-C
chr1	204600000	206160000	chr1:204600000-206160000	GSE87112	Hi-C
chr1	206400000	207560000	chr1:206400000-207560000	GSE87112	Hi-C
chr1	207800000	209840000	chr1:207800000-209840000	GSE87112	Hi-C
chr1	210080000	211240000	chr1:210080000-211240000	GSE87112	Hi-C
chr1	211680000	213040000	chr1:211680000-213040000	GSE87112	Hi-C
chr1	213080000	214600000	chr1:213080000-214600000	GSE87112	Hi-C
