chrom	start	end	feature_id	study_id	protocol
chr1	760000	6000000	chr1:760000-6000000	GSE84660	Hi-C
chr1	6520000	7640000	chr1:6520000-7640000	GSE84660	Hi-C
chr1	7960000	8360000	chr1:7960000-8360000	GSE84660	Hi-C
chr1	8360000	9480000	chr1:8360000-9480000	GSE84660	Hi-C
chr1	9720000	11000000	chr1:9720000-11000000	GSE84660	Hi-C
chr1	11040000	11720000	chr1:11040000-11720000	GSE84660	Hi-C
chr1	12040000	12680000	chr1:12040000-12680000	GSE84660	Hi-C
chr1	12680000	13840000	chr1:12680000-13840000	GSE84660	Hi-C
chr1	13960000	15520000	chr1:13960000-15520000	GSE84660	Hi-C
chr1	15520000	15760000	chr1:15520000-15760000	GSE84660	Hi-C
chr1	15760000	16480000	chr1:15760000-16480000	GSE84660	Hi-C
chr1	17080000	18880000	chr1:17080000-18880000	GSE84660	Hi-C
chr1	18880000	19240000	chr1:18880000-19240000	GSE84660	Hi-C
chr1	19320000	19680000	chr1:19320000-19680000	GSE84660	Hi-C
chr1	19880000	20520000	chr1:19880000-20520000	GSE84660	Hi-C
chr1	20680000	21200000	chr1:20680000-21200000	GSE84660	Hi-C
chr1	21200000	22920000	chr1:21200000-22920000	GSE84660	Hi-C
chr1	22960000	23680000	chr1:22960000-23680000	GSE84660	Hi-C
chr1	23760000	25240000	chr1:23760000-25240000	GSE84660	Hi-C
chr1	25320000	25800000	chr1:25320000-25800000	GSE84660	Hi-C
chr1	25800000	26480000	chr1:25800000-26480000	GSE84660	Hi-C
chr1	26480000	26920000	chr1:26480000-26920000	GSE84660	Hi-C
chr1	26960000	27640000	chr1:26960000-27640000	GSE84660	Hi-C
chr1	27800000	28520000	chr1:27800000-28520000	GSE84660	Hi-C
chr1	28720000	29240000	chr1:28720000-29240000	GSE84660	Hi-C
chr1	29280000	30920000	chr1:29280000-30920000	GSE84660	Hi-C
chr1	31160000	32000000	chr1:31160000-32000000	GSE84660	Hi-C
chr1	32400000	33080000	chr1:32400000-33080000	GSE84660	Hi-C
chr1	33080000	34840000	chr1:33080000-34840000	GSE84660	Hi-C
chr1	35160000	36080000	chr1:35160000-36080000	GSE84660	Hi-C
chr1	36080000	37400000	chr1:36080000-37400000	GSE84660	Hi-C
chr1	38000000	38840000	chr1:38000000-38840000	GSE84660	Hi-C
chr1	39080000	39760000	chr1:39080000-39760000	GSE84660	Hi-C
chr1	40040000	40440000	chr1:40040000-40440000	GSE84660	Hi-C
chr1	40560000	40800000	chr1:40560000-40800000	GSE84660	Hi-C
chr1	41240000	43480000	chr1:41240000-43480000	GSE84660	Hi-C
chr1	43720000	44000000	chr1:43720000-44000000	GSE84660	Hi-C
chr1	44040000	44720000	chr1:44040000-44720000	GSE84660	Hi-C
chr1	44720000	46000000	chr1:44720000-46000000	GSE84660	Hi-C
chr1	46000000	46280000	chr1:46000000-46280000	GSE84660	Hi-C
chr1	46400000	47160000	chr1:46400000-47160000	GSE84660	Hi-C
chr1	47400000	48080000	chr1:47400000-48080000	GSE84660	Hi-C
chr1	48080000	50360000	chr1:48080000-50360000	GSE84660	Hi-C
chr1	50360000	50640000	chr1:50360000-50640000	GSE84660	Hi-C
chr1	50760000	51320000	chr1:50760000-51320000	GSE84660	Hi-C
chr1	51360000	51800000	chr1:51360000-51800000	GSE84660	Hi-C
chr1	52040000	52360000	chr1:52040000-52360000	GSE84660	Hi-C
chr1	52360000	53240000	chr1:52360000-53240000	GSE84660	Hi-C
chr1	53400000	53840000	chr1:53400000-53840000	GSE84660	Hi-C
chr1	53840000	55040000	chr1:53840000-55040000	GSE84660	Hi-C
chr1	55040000	56760000	chr1:55040000-56760000	GSE84660	Hi-C
chr1	56800000	58480000	chr1:56800000-58480000	GSE84660	Hi-C
chr1	58480000	59960000	chr1:58480000-59960000	GSE84660	Hi-C
chr1	59960000	60840000	chr1:59960000-60840000	GSE84660	Hi-C
chr1	60960000	62080000	chr1:60960000-62080000	GSE84660	Hi-C
chr1	62160000	62440000	chr1:62160000-62440000	GSE84660	Hi-C
